Dress_type,Brand,Actual_price,Disc_price,Image
Women's Regular Short Kurti,Amazon Brand - Myx,599.0,312.0,https://m.media-amazon.com/images/I/91MixIzLLKL._AC_UL320_.jpg
Women's Jaipuri Rajasthani Rayon Straight Kurti with Plazzo for Women & Girls Dress oIaxsy,Generic,1799.0,545.0,https://m.media-amazon.com/images/I/61YkD1vIL1L._AC_UL320_.jpg
Women' Light Green Colour Short Sleeve Crepe Straight Kurta(Parrot-Deer-Eiffel),PURVAJA,1599.0,321.0,https://m.media-amazon.com/images/I/71KXJMQCETL._AC_UL320_.jpg
Cotton Printed Kurti(VCK1267_Green_Free Size),Vaamsi,999.0,429.0,https://m.media-amazon.com/images/I/61dxG6dT5kL._AC_UL320_.jpg
Women's Rayon Printed Anarkali Kurti Dupatta Set (White),Generic,2499.0,1299.0,https://m.media-amazon.com/images/I/41-ELAPKN8S._AC_UL320_.jpg
SlubRayon Short Sleeve Sleeve Printed Anarkli Kurti For Women,OM SAI LATEST CREATION,1999.0,429.0,https://m.media-amazon.com/images/I/71voyAj6Y8L._AC_UL320_.jpg
Crepe Digital Printed Kurti(VPK1592_Blue_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61VgypRWKUS._AC_UL320_.jpg
Women's Cotton Straight Kurta,Jaipur Kurti,2199.0,589.0,https://m.media-amazon.com/images/I/61KvJpF7f9L._AC_UL320_.jpg
Women Kurta and Dupatta Set,VASTRAMANIAA,2299.0,799.0,https://m.media-amazon.com/images/I/81HRzmbVjIL._AC_UL320_.jpg
Women's Kurta,BIBA,2999.0,1050.0,https://m.media-amazon.com/images/I/713RnMGxOxL._AC_UL320_.jpg
Women's Regular Fashion Vest,Serein,1999.0,425.0,https://m.media-amazon.com/images/I/81sZhh2U6VL._AC_UL320_.jpg
Women's Crepe Straight Kurta,ZIYAA,1107.0,379.0,https://m.media-amazon.com/images/I/610ofXGBZxL._AC_UL320_.jpg
Women's Rayon Solid with Heavy Embroidery Work Straight Kurta,DMP EXPORT,1999.0,599.0,https://m.media-amazon.com/images/I/71EMd+mKiKL._AC_UL320_.jpg
Women's Gold Printed Kurta with Skirt & Tassels (Black),ANNI DESIGNER,3999.0,759.0,https://m.media-amazon.com/images/I/61hy+KCT0BL._AC_UL320_.jpg
Women Rayon Printed Kurta Palazzo & Dupatta Set,TFD,1999.0,999.0,https://m.media-amazon.com/images/I/614+Hmv+ZiL._AC_UL320_.jpg
Women's Cotton Anarkali Kurti,Amayra,2499.0,799.0,https://m.media-amazon.com/images/I/61vspanX4IL._AC_UL320_.jpg
Women's Cotton Printed Straight Kurti (White),Amayra,1999.0,499.0,https://m.media-amazon.com/images/I/81H0XAJmGUL._AC_UL320_.jpg
Women Straight Kurta Set,INDO ERA,2299.0,899.0,https://m.media-amazon.com/images/I/81QiKyN2+9L._AC_UL320_.jpg
Crepe Printed Kurti(VPK1764_Black_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61nzBEqRhwL._AC_UL320_.jpg
Women's Rayon Printed Anarkali Kurti (Pink),T-Rock,2199.0,499.0,https://m.media-amazon.com/images/I/61eN-S9N2iS._AC_UL320_.jpg
Women Stitched Pink Printed Cotton Kurti,AnjuShree Choice,2084.0,499.0,https://m.media-amazon.com/images/I/813Ybzufn6L._AC_UL320_.jpg
Women's Cotton Straight Kurta,M&D,1299.0,389.0,https://m.media-amazon.com/images/I/613jd0EkttS._AC_UL320_.jpg
"Women Rayon Printed Kurta Palazzo & Dupatta Set, Blue",PARTHVI,3999.0,899.0,https://m.media-amazon.com/images/I/31U59Qby5uS._AC_UL320_.jpg
Women's Rayon Regular Kurta,Ashwati,999.0,499.0,https://m.media-amazon.com/images/I/61ks5m0z9oL._AC_UL320_.jpg
Women's Soft Rayon Printed White Color Anarkali Kurti with Dupatta,AESTHETIC PARADIGM,1699.0,699.0,https://m.media-amazon.com/images/I/61VMLXN7-vS._AC_UL320_.jpg
Women's Regular Kurta,BIBA,1499.0,635.0,https://m.media-amazon.com/images/I/81iMswO3wcL._AC_UL320_.jpg
Women Cotton Aqua Printed Kurta Palazzo & Dupatta Set,MEERA FAB,3999.0,999.0,https://m.media-amazon.com/images/I/81tgoLyJbaL._AC_UL320_.jpg
Women's Premium Moss Satin Kurti Long Kurta Dress Digital Printed Gown Anarkali Casual Kurti Sleevless Kurti for Women & Girls,RUDRA FASHION MART,1899.0,434.0,https://m.media-amazon.com/images/I/81MQbPs3BQS._AC_UL320_.jpg
Crepe Printed Kurti(VPK1760_Yellow_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/71twOf6hMmL._AC_UL320_.jpg
